Task_Record_ID,Task_Length_MI,Task_Priority,Task_Dependency_Level,Task_Arrival_Time,CPU_Utilization,Memory_Usage,Queue_Length,Node_Trust_Score,Node_Processing_Speed_MIPS,System_Load_Level,Execution_Environment,Assigned_Node
TASK_0056,1521,5,4,4877.05,90.49,33.91,11,0.869,10043,High,Hybrid,4
TASK_0057,4343,4,2,2867.82,30.46,30.28,7,0.853,5536,Low,Edge,4
TASK_0058,8489,5,3,1708.21,30.4,40.53,3,0.993,18103,Medium,Cloud,2
TASK_0059,7373,2,0,3242.32,17.09,50.74,4,0.761,11206,High,Cloud,2
TASK_0060,6175,4,3,342.2,88.92,37.2,5,0.913,4642,High,Edge,5
TASK_0061,661,2,4,4486.99,59.28,53.62,4,0.788,13062,High,Edge,4
TASK_0062,4797,4,1,596.91,66.7,27.4,18,0.937,17447,High,Cloud,4
TASK_0063,1495,4,0,1639.21,87.48,88.33,7,0.861,14055,High,Cloud,3
TASK_0064,8129,2,2,4078.73,39.38,23.09,8,0.821,1559,Low,Cloud,3
TASK_0065,9967,3,4,2986.56,62.83,84.9,14,0.783,2733,Low,Edge,1
TASK_0066,1516,1,1,1968.18,13.3,83.52,3,0.861,9861,Low,Cloud,1
TASK_0067,8369,5,3,2367.18,25.88,54.4,8,0.71,2542,High,Cloud,3
TASK_0068,6939,4,1,4272.74,80.66,69.37,6,0.548,10463,High,Edge,1
TASK_0069,8392,5,4,1700.02,75.18,47.7,7,0.52,3415,Low,Edge,4
TASK_0070,7363,2,4,4348.25,39.8,62.25,14,0.74,11983,Medium,Edge,2
TASK_0071,8416,5,1,440.67,42.03,40.54,18,0.8,13905,High,Cloud,4
TASK_0072,9029,2,3,3883.99,55.35,37.59,14,0.539,6387,High,Cloud,3
TASK_0073,1378,5,1,4237.74,10.02,58.37,4,0.643,9187,Medium,Cloud,5
TASK_0074,9768,1,4,909.09,30.51,52.36,18,0.661,7643,High,Hybrid,5
TASK_0075,5387,1,4,2151.73,27.7,58.47,6,0.781,16667,Medium,Edge,3
TASK_0076,5359,1,2,827.5,31.29,36.5,5,0.639,12246,Medium,Cloud,4
TASK_0077,6831,1,2,3533.02,78.5,42.52,18,0.548,3458,Medium,Cloud,1
TASK_0078,9071,1,0,2676.74,33.77,21.29,16,0.582,7028,Medium,Edge,1
TASK_0079,9184,1,4,3176.62,26.28,18.92,9,0.587,6447,Low,Edge,5
TASK_0080,7708,2,2,982.43,52.86,34.01,18,0.921,2948,High,Edge,3
TASK_0081,5776,4,1,1058.73,83.58,20.57,10,0.642,7306,High,Hybrid,3
TASK_0082,2562,5,3,207.49,30.51,22.78,14,0.857,9251,High,Edge,2
TASK_0083,564,1,1,1610.34,16.68,75.97,9,0.784,9092,Medium,Edge,5
TASK_0084,8506,2,3,2798.72,40.29,17.92,10,0.989,13363,Medium,Hybrid,3
TASK_0085,3068,2,2,4289.67,73.55,64.42,2,0.636,15066,Medium,Edge,2
TASK_0086,5963,2,0,3334.64,56.81,35.44,2,0.579,17129,Low,Edge,1
TASK_0087,2527,4,1,2176.98,79.43,80.37,17,0.526,16776,Medium,Hybrid,5
TASK_0088,3195,5,1,4765.6,91.57,51.37,10,0.62,1189,Low,Cloud,5
TASK_0089,5758,4,1,3596.23,77.38,37.92,19,0.842,12752,Low,Cloud,3
TASK_0090,6118,3,3,4650.83,61.32,53.82,17,0.543,8482,High,Hybrid,3
TASK_0091,7236,2,2,2637.94,51.93,43.65,14,0.622,17679,Low,Edge,4
TASK_0092,891,3,1,1294.52,13.41,57.32,6,0.928,1799,High,Hybrid,1
TASK_0093,6392,1,1,264.13,93.67,23.59,9,0.791,10934,Medium,Cloud,1
TASK_0094,4061,1,0,3630.42,42.6,89.77,19,0.535,9788,High,Edge,2
TASK_0095,6684,4,0,606.51,22.94,46.92,9,0.524,10909,Low,Cloud,2
TASK_0096,3599,5,2,1513.88,66.67,41.12,12,0.531,13415,Medium,Edge,4
TASK_0097,6778,3,2,2662.35,34.16,68.27,14,0.971,11790,Medium,Cloud,1
TASK_0098,8892,5,4,2822.08,59.79,42.29,17,0.925,14846,High,Cloud,2
TASK_0099,3604,4,0,3002.92,59.88,77.5,3,0.922,5714,Medium,Cloud,1
TASK_0100,7715,1,4,831.28,47.89,49.07,19,0.962,12408,Low,Edge,1
TASK_0101,2954,5,3,1898.69,81.07,68.97,16,0.753,3839,High,Cloud,2
TASK_0102,9496,5,4,3085.97,32.52,23.06,2,0.624,4513,Medium,Cloud,3
TASK_0103,3231,1,1,4849.09,48.13,78.46,1,0.701,14601,Low,Cloud,3
TASK_0104,8654,3,4,3638.16,55.7,70.18,3,0.859,2135,Medium,Cloud,2
TASK_0105,5556,1,2,4613.02,66.41,30.88,0,0.938,12913,Medium,Hybrid,4
TASK_0106,8610,5,3,3811.06,76.64,25.9,14,0.718,11101,Low,Cloud,5
TASK_0107,4340,3,1,2958.58,43.56,38.72,0,0.768,19631,Medium,Cloud,1
TASK_0108,1528,3,4,960.12,64.91,88.21,5,0.966,7548,Low,Hybrid,5
TASK_0109,7885,1,3,3333.43,22.8,34.26,6,0.554,5516,Medium,Edge,2
TASK_0110,1002,5,3,3116.9,89.28,49.21,18,0.931,5102,High,Edge,1
TASK_0111,7410,4,1,3012.35,42.56,17.25,11,0.58,17217,Medium,Edge,5
TASK_0112,9562,5,4,2448.93,72.01,44.79,0,0.742,18932,Medium,Hybrid,3
TASK_0113,7438,2,3,2643.28,11.73,57.85,6,0.609,5511,Low,Cloud,4
TASK_0114,4988,4,3,1672.21,27.44,86.48,18,0.801,15024,Low,Hybrid,5
TASK_0115,706,3,0,2596.56,51.4,53.76,12,0.779,12413,Low,Hybrid,4
TASK_0116,5634,4,3,987.78,84.65,76.43,11,0.69,17319,Medium,Edge,3
TASK_0117,6477,3,0,4025.87,54.82,56.03,11,0.932,13715,Medium,Edge,5
TASK_0118,8221,3,4,928.88,89.04,18.06,12,0.83,8975,High,Edge,2
TASK_0119,7535,4,4,424.83,51.12,38.63,13,0.861,13621,Low,Cloud,1
TASK_0120,1984,3,4,2181.23,51.69,58.17,11,0.575,11511,Medium,Cloud,3
TASK_0121,8358,3,2,3291.54,20.18,86.29,19,0.942,11558,Medium,Hybrid,4
TASK_0122,1363,2,4,2188.58,78.23,79.43,11,0.584,1526,Medium,Edge,4
TASK_0123,3290,5,3,1383.77,30.99,32.13,5,0.611,2753,High,Cloud,3
TASK_0124,7908,5,1,2790.86,86.47,31.51,9,0.564,15656,Low,Edge,2
TASK_0125,9255,2,0,1735.01,87.42,30.09,19,0.72,11220,Low,Edge,2
TASK_0126,5616,4,2,4664.34,90.18,84.19,8,0.944,19038,Medium,Cloud,4
TASK_0127,6519,1,4,4613.23,54.22,78.95,1,0.626,13741,Medium,Edge,3
TASK_0128,2257,1,4,2511.86,67.55,73.12,6,0.687,5841,Low,Edge,3
TASK_0129,8074,1,1,1639.42,76.17,44.46,8,0.923,5041,Low,Cloud,1
TASK_0130,6874,2,1,3685.66,21.14,52.83,11,0.809,9965,Medium,Hybrid,4
TASK_0131,7392,2,2,183.56,61.08,49.82,4,0.876,15418,Medium,Cloud,2
TASK_0132,2178,3,0,2373.85,12.92,34.0,0,0.607,5417,Low,Edge,5
TASK_0133,3742,1,4,1681.62,52.29,52.88,14,0.858,9977,Medium,Cloud,2
TASK_0134,5136,4,2,4602.68,23.16,17.29,7,0.614,15587,Medium,Edge,2
TASK_0135,1559,4,3,60.02,25.55,24.89,0,0.994,1448,Medium,Cloud,5
TASK_0136,7168,1,3,2764.07,41.03,81.49,17,0.78,5585,High,Cloud,4
TASK_0137,3657,1,2,3703.32,46.76,71.38,12,0.848,13751,Low,Hybrid,1
TASK_0138,6415,1,4,2425.09,62.97,46.72,0,0.559,9108,High,Cloud,2
TASK_0139,3193,2,2,427.02,16.33,53.79,4,0.625,16534,Medium,Edge,2
TASK_0140,4127,2,4,4862.31,52.81,42.75,17,0.57,12443,High,Edge,4
TASK_0141,5950,2,1,2590.05,25.52,70.56,15,0.695,1294,Medium,Hybrid,4
TASK_0142,2163,5,2,3070.93,58.79,73.81,9,0.642,2238,Medium,Edge,3
TASK_0143,6092,4,4,1183.05,64.18,72.25,3,0.866,16321,High,Cloud,4
TASK_0144,7892,4,2,2417.49,57.32,69.2,0,0.554,17074,High,Cloud,4
TASK_0145,1806,3,2,2145.75,72.76,30.34,7,0.876,14049,Low,Hybrid,2
TASK_0146,7276,2,4,374.48,38.53,40.35,4,0.523,3816,Low,Hybrid,1
TASK_0147,6364,5,4,530.8,75.03,50.24,1,0.601,2098,Medium,Cloud,2
TASK_0148,9974,5,0,4187.36,46.79,39.81,16,0.896,15679,High,Edge,4
TASK_0149,8026,4,2,1199.1,51.16,71.62,6,0.871,2737,Medium,Edge,3
TASK_0150,9401,2,3,974.79,65.09,39.7,16,0.738,19573,Medium,Hybrid,1
TASK_0151,6075,3,2,2524.56,11.56,25.37,5,0.525,3765,High,Hybrid,3
TASK_0152,6030,2,2,3843.74,65.59,44.93,14,0.805,18606,High,Hybrid,5
TASK_0153,4913,1,4,309.73,62.58,88.49,4,0.703,15230,Medium,Hybrid,3
TASK_0154,4248,2,2,2884.04,36.34,31.94,14,0.658,12434,Medium,Hybrid,3
TASK_0155,1163,1,2,596.05,17.29,60.91,17,0.82,13091,High,Cloud,4
TASK_0156,2498,1,3,182.31,17.73,47.47,17,0.718,1410,Medium,Hybrid,4
TASK_0157,8494,3,4,263.72,88.47,20.33,5,0.546,5786,High,Edge,4
TASK_0158,1995,4,2,4170.82,68.59,51.59,1,0.958,10069,Medium,Hybrid,4
TASK_0159,3804,2,1,589.86,20.8,67.66,16,0.889,18170,Medium,Edge,4
TASK_0160,4263,1,0,225.76,40.32,53.49,3,0.528,19493,Low,Cloud,3
TASK_0161,5732,2,3,2189.5,60.36,80.41,11,0.763,6835,Low,Edge,5
TASK_0162,2353,4,2,4219.97,81.02,36.67,18,0.542,2986,High,Edge,4
TASK_0163,7085,4,1,1312.04,13.71,21.47,1,0.919,9126,Medium,Cloud,5
TASK_0164,1791,5,2,2108.56,30.11,85.24,1,0.807,10070,Medium,Cloud,5
TASK_0165,4081,4,2,199.61,85.63,43.36,13,0.586,8300,Low,Edge,2
TASK_0166,8054,3,4,2245.39,10.78,58.23,14,0.51,16548,Medium,Cloud,2
TASK_0167,7780,1,4,2888.07,27.12,74.4,19,0.516,3403,Medium,Cloud,1
TASK_0168,2136,5,4,2854.54,91.52,39.32,1,0.754,9262,Medium,Cloud,2
TASK_0169,4196,3,1,1662.13,62.14,68.71,3,0.867,11502,Low,Hybrid,4
TASK_0170,1198,2,2,1577.67,32.24,25.16,18,0.56,7701,High,Edge,5
TASK_0171,5237,1,0,533.12,15.69,36.85,8,0.611,4295,High,Cloud,1
TASK_0172,1354,4,3,1833.99,12.4,25.85,6,0.664,16687,Low,Edge,2
TASK_0173,8664,1,4,497.47,30.8,75.84,12,0.609,13875,Medium,Edge,3
TASK_0174,6355,2,4,3832.98,84.93,31.7,11,0.696,3121,Medium,Cloud,1
TASK_0175,7892,5,2,4831.37,45.35,68.81,2,0.78,4582,Medium,Cloud,4
TASK_0176,7028,5,2,4850.37,71.23,85.75,12,0.842,15477,High,Edge,5
TASK_0177,5749,5,1,4325.36,88.05,54.58,14,0.982,10821,Medium,Edge,4
TASK_0178,5672,4,1,3003.96,44.68,55.5,13,0.965,6700,Medium,Edge,4
TASK_0179,2207,3,4,3504.33,26.26,49.58,8,0.785,8232,Medium,Cloud,3
TASK_0180,6291,3,2,1426.03,53.96,39.44,12,0.867,5288,Low,Cloud,3
TASK_0181,6035,1,0,3153.85,87.19,50.67,3,0.975,2085,Low,Hybrid,5
TASK_0182,5431,4,3,2278.25,78.37,60.21,7,0.542,16891,Medium,Cloud,2
TASK_0183,4010,5,2,2410.09,15.6,88.95,2,0.503,16600,Low,Edge,4
TASK_0184,702,5,2,3788.88,68.87,85.33,1,0.515,9645,High,Cloud,2
TASK_0185,4718,2,1,1409.59,58.61,79.66,18,0.782,9810,High,Cloud,5
TASK_0186,9458,2,3,1590.2,87.13,81.68,7,0.881,9828,High,Cloud,4
TASK_0187,4889,5,4,4623.21,20.41,50.09,16,0.684,19732,High,Cloud,2
TASK_0188,2827,5,2,281.12,55.39,64.31,12,0.773,5874,Medium,Cloud,4
TASK_0189,8504,4,4,2428.17,84.75,82.13,6,0.758,14767,High,Cloud,3
TASK_0190,3431,3,2,4564.0,44.85,44.47,8,0.547,11913,Low,Edge,3
TASK_0191,8277,2,4,3051.82,50.97,87.13,11,0.661,17215,Low,Edge,1
TASK_0192,697,3,3,2732.04,15.99,46.18,13,0.51,19733,High,Cloud,5
TASK_0193,7625,4,1,1248.72,33.64,60.08,13,0.555,15332,Low,Hybrid,2
TASK_0194,2430,5,3,1716.38,37.58,68.24,14,0.906,5432,High,Cloud,4
TASK_0195,6787,3,0,4260.24,90.34,86.29,2,0.915,8265,Medium,Cloud,1
TASK_0196,9300,5,1,2796.09,34.03,33.35,14,0.901,7103,High,Edge,5
TASK_0197,9839,5,3,2573.71,49.17,70.96,18,0.863,12012,Low,Edge,5
TASK_0198,4782,1,0,497.9,67.06,54.06,19,0.897,16900,Medium,Edge,5
TASK_0199,3011,3,2,80.14,23.79,35.14,13,0.835,3031,Low,Cloud,2
TASK_0200,1159,3,2,4818.43,51.35,73.25,7,0.835,18633,High,Hybrid,3
TASK_0201,3311,5,4,1884.93,72.78,56.42,4,0.834,9519,Low,Edge,1
TASK_0202,7598,4,1,3016.07,83.68,64.57,18,0.757,9988,Medium,Cloud,2
TASK_0203,7046,1,2,398.58,63.23,39.22,3,0.682,6299,Low,Cloud,4
TASK_0204,2486,5,1,3415.57,66.87,51.1,13,0.865,13952,Low,Hybrid,2
TASK_0205,8838,2,2,4662.83,20.73,61.3,15,0.649,4094,Medium,Edge,4
TASK_0206,3411,2,4,2878.33,90.39,45.37,19,0.771,3977,Low,Cloud,4
TASK_0207,2234,1,3,630.58,21.27,29.88,5,0.717,18346,High,Cloud,5
TASK_0208,2343,4,4,2908.61,75.85,87.12,5,0.638,6725,Low,Cloud,2
TASK_0209,9180,5,0,3831.74,32.51,53.36,2,0.987,2268,Medium,Edge,3
TASK_0210,3476,3,2,2032.08,89.36,70.04,14,0.629,17161,Medium,Hybrid,4
TASK_0211,2459,1,0,4399.19,71.2,45.83,2,0.655,17756,Low,Cloud,5
TASK_0212,6259,4,0,3243.41,74.07,41.63,10,0.581,8617,Medium,Cloud,3
TASK_0213,7194,3,1,4496.24,28.62,45.54,2,0.911,16032,High,Hybrid,2
TASK_0214,2885,2,2,3117.53,47.66,45.69,9,0.793,13934,Low,Edge,3
TASK_0215,5236,2,0,656.44,62.51,55.81,17,0.807,12885,Low,Edge,2
TASK_0216,2302,3,3,1548.46,75.45,55.76,0,0.91,10796,Medium,Cloud,4
TASK_0217,8655,1,0,1008.97,18.84,52.29,15,0.671,7279,Medium,Edge,1
TASK_0218,8620,2,3,4544.13,91.8,25.11,15,0.597,1095,Medium,Edge,1
TASK_0219,7116,5,1,3802.0,85.67,52.21,9,0.599,16478,Medium,Cloud,4
TASK_0220,6034,3,0,3381.99,32.98,27.68,0,0.866,8021,High,Hybrid,3
TASK_0221,4561,3,4,1504.83,79.93,24.46,3,0.807,16185,Low,Hybrid,2
TASK_0222,762,2,1,920.22,54.06,84.95,2,0.603,6868,Medium,Edge,1
TASK_0223,6787,1,3,3782.26,49.25,60.37,4,0.573,14071,Medium,Edge,2
TASK_0224,9315,5,1,2370.79,36.73,64.46,11,0.56,9041,Medium,Edge,4
TASK_0225,9708,1,0,1128.95,59.38,45.13,11,0.814,17515,High,Cloud,3
TASK_0226,2549,4,2,3083.11,72.04,83.17,12,0.5,12307,Medium,Cloud,2
TASK_0227,5923,4,2,201.67,44.93,62.84,11,0.509,8290,High,Edge,3
TASK_0228,5048,2,3,1630.85,63.48,72.69,15,0.695,16495,Medium,Edge,1
TASK_0229,3608,2,3,2342.78,69.44,42.64,12,0.846,7516,Low,Hybrid,2
TASK_0230,7658,2,2,739.79,70.45,87.0,4,0.848,10341,Low,Cloud,5
TASK_0231,7900,4,3,4923.27,14.42,76.53,3,0.715,12702,Medium,Edge,1
TASK_0232,3670,1,1,1045.49,83.08,79.05,14,0.846,1807,Medium,Edge,3
TASK_0233,2755,1,4,651.77,48.95,27.91,11,0.761,14031,Low,Edge,4
TASK_0234,1654,2,4,1017.67,32.31,35.32,18,0.988,17434,Medium,Hybrid,5
TASK_0235,4999,5,1,3845.31,30.55,36.42,18,0.581,12400,Medium,Hybrid,2
TASK_0236,6795,1,4,2127.53,51.06,35.32,10,0.8,17439,Low,Cloud,1
TASK_0237,6697,4,0,2827.08,85.38,79.16,5,0.746,4664,Low,Cloud,2
TASK_0238,2148,3,1,105.05,42.16,17.39,8,0.597,1743,High,Cloud,2
TASK_0239,6039,3,3,172.16,73.73,20.71,0,0.875,7030,Medium,Edge,5
TASK_0240,4699,3,1,2229.13,18.23,35.54,11,0.638,15661,High,Cloud,5
TASK_0241,8945,5,2,4083.28,50.46,29.99,13,0.691,15975,Medium,Edge,5
TASK_0242,3057,2,3,4426.19,94.29,32.39,5,0.687,1079,Medium,Cloud,5
TASK_0243,6092,4,2,433.53,75.49,74.85,0,0.622,15809,Low,Edge,4
TASK_0244,598,5,3,2691.82,27.89,57.23,1,0.715,13132,Medium,Edge,3
TASK_0245,2700,4,4,4566.15,52.62,15.43,10,0.737,3966,Medium,Edge,5
TASK_0246,3461,4,1,1939.86,29.86,47.2,2,0.872,16534,Medium,Edge,1
TASK_0247,5473,2,0,4147.83,44.81,45.59,9,0.883,4728,Low,Cloud,2
TASK_0248,4933,3,3,668.48,76.31,23.55,5,0.579,5536,Low,Cloud,5
TASK_0249,3369,2,3,4676.97,75.55,65.71,5,0.796,17509,High,Edge,1
TASK_0250,1456,5,2,3757.12,29.39,67.66,19,0.948,6813,Medium,Edge,4
TASK_0251,8852,5,4,4706.67,88.39,69.07,1,0.554,1947,Medium,Hybrid,1
TASK_0252,6199,5,2,3383.09,60.37,69.64,9,0.736,13565,Medium,Hybrid,1
TASK_0253,7444,2,2,1817.02,42.29,15.0,5,0.875,16844,High,Hybrid,4
TASK_0254,4993,4,4,4690.91,52.66,86.54,16,0.806,1594,Medium,Cloud,4
TASK_0255,9992,4,0,1377.83,61.43,76.07,13,0.55,17524,Medium,Edge,2
TASK_0256,5411,1,2,1660.86,57.59,82.8,4,0.698,15017,High,Cloud,5
TASK_0257,4487,5,2,3504.04,51.34,16.17,16,0.754,5205,High,Cloud,1
TASK_0258,6515,4,3,3826.58,52.92,85.04,1,0.998,8782,Low,Cloud,3
TASK_0259,1718,1,4,4647.02,25.0,75.73,8,0.589,3660,Low,Cloud,3
TASK_0260,4996,4,1,1024.01,79.08,77.79,11,0.991,17013,High,Cloud,2
TASK_0261,5235,5,0,3989.99,56.05,22.0,18,0.688,7856,High,Edge,3
TASK_0262,5055,3,0,3692.73,21.14,70.41,6,0.6,7089,Medium,Hybrid,2
TASK_0263,9646,5,4,318.97,75.12,86.99,8,0.707,6318,Medium,Cloud,5
TASK_0264,8550,2,3,1936.12,89.26,65.89,15,0.807,16405,Medium,Hybrid,2
TASK_0265,3946,4,3,1413.83,90.52,57.79,19,0.607,19936,Medium,Cloud,4
TASK_0266,1545,4,4,1522.45,41.37,85.92,10,0.646,9062,Medium,Cloud,4
TASK_0267,7393,2,3,4914.73,21.52,48.22,11,0.927,18424,Low,Edge,4
TASK_0268,2193,2,0,3213.89,54.06,59.95,14,1.0,9506,High,Edge,4
TASK_0269,3936,3,0,3588.38,19.57,50.73,17,0.659,12651,High,Cloud,4
TASK_0270,9254,4,1,4883.09,89.39,84.96,18,0.574,16730,Medium,Cloud,4
TASK_0271,6395,4,4,1886.01,25.6,20.71,15,0.897,4236,Medium,Edge,4
TASK_0272,3854,3,2,4009.2,31.49,52.58,14,0.8,4680,Low,Cloud,4
TASK_0273,725,1,2,2172.65,44.56,66.52,4,0.55,16383,Medium,Edge,4
TASK_0274,5393,3,1,4347.67,42.57,74.39,10,0.973,12298,Medium,Edge,5
TASK_0275,7522,5,1,903.29,77.55,58.73,14,0.539,18921,Medium,Cloud,4
TASK_0276,9651,4,3,4738.43,48.79,83.17,17,0.813,4872,Medium,Hybrid,2
TASK_0277,6100,2,1,1093.86,24.52,85.65,12,0.712,2867,Medium,Cloud,5
TASK_0278,8496,5,1,1631.1,32.71,19.82,3,0.778,16820,High,Edge,3
TASK_0279,9507,4,2,3780.96,53.27,45.18,16,0.607,18545,Low,Edge,1
TASK_0280,8183,3,3,1968.78,22.53,16.76,3,0.844,4920,Medium,Hybrid,5
TASK_0281,5142,5,1,3041.06,61.99,39.71,15,0.98,6693,High,Edge,4
TASK_0282,8179,4,1,2222.87,58.09,55.27,14,0.729,11948,Medium,Edge,5
TASK_0283,8708,1,3,3711.85,70.75,83.31,13,0.761,9456,Medium,Cloud,1
TASK_0284,7839,1,4,1141.66,89.7,78.49,11,0.62,7331,Medium,Edge,1
TASK_0285,9935,2,3,292.29,87.54,24.56,2,0.946,14107,High,Edge,4
TASK_0286,2705,4,2,1499.65,90.42,21.98,9,0.986,10494,Low,Cloud,4
TASK_0287,1569,1,4,2371.54,30.8,59.2,7,0.893,14853,Medium,Hybrid,2
TASK_0288,3944,3,0,840.1,21.18,54.91,5,0.771,10386,Low,Cloud,1
TASK_0289,1560,4,3,1773.99,35.69,34.98,13,0.978,18910,Low,Hybrid,4
TASK_0290,2827,3,2,1999.92,86.08,82.46,16,0.577,9131,Medium,Hybrid,1
TASK_0291,3920,3,4,286.96,92.62,84.55,18,0.739,12796,Low,Edge,2
TASK_0292,801,1,3,2916.54,83.04,45.2,15,0.769,2158,High,Edge,3
TASK_0293,1106,4,1,4421.72,19.35,81.77,14,0.746,18528,High,Cloud,1
TASK_0294,3670,5,3,758.71,90.53,43.8,14,0.901,1068,Medium,Hybrid,2
TASK_0295,1199,1,0,2989.04,45.99,70.26,0,0.835,4717,Medium,Cloud,2
TASK_0296,5588,1,3,3323.7,10.79,50.7,11,0.563,16218,Medium,Edge,2
TASK_0297,9831,4,4,2096.67,47.6,24.19,9,0.673,12200,High,Edge,5
TASK_0298,690,4,4,3505.49,13.92,84.6,13,0.67,16855,Medium,Hybrid,4
TASK_0299,1480,3,3,2053.66,56.23,49.06,9,0.783,10361,Low,Edge,1
TASK_0300,3475,4,4,2523.19,38.78,70.09,9,0.646,16692,High,Edge,5
